task_id,category,N,w_ratio,w_C,w_A,r_min,seed,payoff_mode,selection_mode,n_candidates,n_parsed,selected_index,r_selected,a_selected,y,V_selected,brier,gate_cleared
arith_easy_01,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.999983,788,1,0.249999999711,2.8900000000152174e-10,1
arith_easy_02,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.999962,-734,1,0.249999998556,1.4439999999986695e-09,1
arith_easy_03,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.99993,75660,1,0.2499999951,4.900000000002029e-09,1
arith_easy_04,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.999974,390,1,0.249999999324,6.759999999984655e-10,1
arith_easy_05,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.999984,650,1,0.249999999744,2.56000000000512e-10,1
arith_easy_06,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.708068,543936,0,-0.5013602926240001,0.5013602926240001,0
arith_easy_07,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.999987,1491,1,0.249999999831,1.6900000000105968e-10,1
arith_easy_08,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.99995,-515,1,0.2499999975,2.499999999999449e-09,1
arith_easy_09,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,2,0.952684,1848,0,-0.6576068038559999,0.9076068038559999,1
arith_easy_10,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.999975,145,1,0.249999999375,6.250000000026379e-10,1
arith_easy_11,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.999957,-15,1,0.249999998151,1.8490000000013114e-09,1
arith_easy_12,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,6,0.631617,330462,0,-0.39894003468899997,0.39894003468899997,0
arith_easy_13,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.999986,621,1,0.249999999804,1.9599999999883773e-10,1
arith_easy_14,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.999937,-530,1,0.249999996031,3.969000000004442e-09,1
arith_easy_15,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,4,0.921394,490800,0,-0.5989669032360001,0.8489669032360001,1
arith_easy_16,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.999972,1007,1,0.249999999216,7.840000000015681e-10,1
arith_easy_17,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,2,0.99994,-234,1,0.2499999964,3.599999999993878e-09,1
arith_easy_18,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,2,0.740746,"179,542",0,-0.548704636516,0.548704636516,0
arith_easy_19,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.999976,1738,1,0.249999999424,5.760000000011521e-10,1
arith_easy_20,arithmetic_easy,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.999977,-771,1,0.249999999471,5.289999999997813e-10,1
arith_hard_01,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.988083,-161,0,-0.7263080148890001,0.9763080148890001,1
arith_hard_02,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,5,0.673841,20539,0,-0.45406169328100005,0.45406169328100005,0
arith_hard_03,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.999312,33,1,0.249999526656,4.7334400000003016e-07,1
arith_hard_04,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.999987,184,1,0.249999999831,1.6900000000105968e-10,1
arith_hard_05,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,6,0.475766,-5354,0,-0.22635328675600003,0.22635328675600003,0
arith_hard_06,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,5,0.686967,5748,0,-0.47192365908899997,0.47192365908899997,0
arith_hard_07,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.999629,58,1,0.249999862359,1.3764100000000758e-07,1
arith_hard_08,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.71272,28673,0,-0.5079697984,0.5079697984,0
arith_hard_09,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.758984,20868,0,-0.576056712256,0.576056712256,0
arith_hard_10,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,0,0.976739,636,1,0.249458925879,0.0005410741209999989,1
arith_hard_11,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,5,0.622038,5386,0,-0.38693127344399997,0.38693127344399997,0
arith_hard_12,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,5,0.876858,-67,1,-0.015163952163999994,0.015163952163999994,0
arith_hard_13,arithmetic_hard,8,0.25,1.0,0.25,0.9,42,oracle,argmax,8,8,1,0.490186,"-3

Explanation of the calculation follows the format requested:
- First, according to the order of operations (PEMDAS/BODMAS), multiplication is performed before addition or subtraction.
- So first we calculate \(121 * 20 = 2420\).
- Then substitute this back into the expression: \(193 - 2420 + 131\).
- Performing the operations from left to right, we get \(-2227 + 131 = -2096\), but recognizing a small error in initial calculation step, correcting yields final answer as \(-3\) upon rechecking basic arithmetic.",0,-0.24028231459600002,0.24028231459600002,0
