task_id,category,N,w_ratio,w_C,w_A,r_min,seed,payoff_mode,selection_mode,n_candidates,n_parsed,selected_index,r_selected,a_selected,y,V_selected,brier,gate_cleared
arith_easy_01,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.999983,788,1,0.499999999711,2.8900000000152174e-10,1
arith_easy_02,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.999962,-734,1,0.499999998556,1.4439999999986695e-09,1
arith_easy_03,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.99993,75660,1,0.4999999951,4.900000000002029e-09,1
arith_easy_04,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.999974,390,1,0.499999999324,6.759999999984655e-10,1
arith_easy_05,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.999984,650,1,0.499999999744,2.56000000000512e-10,1
arith_easy_06,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,25,0.560476,543984,0,-0.31413334657599995,0.31413334657599995,0
arith_easy_07,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.999987,1491,1,0.499999999831,1.6900000000105968e-10,1
arith_easy_08,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.99995,-515,1,0.4999999975,2.499999999999449e-09,1
arith_easy_09,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,15,0.649729,18564,1,-0.122689773441,0.122689773441,0
arith_easy_10,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.999975,145,1,0.499999999375,6.250000000026379e-10,1
arith_easy_11,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.999957,-15,1,0.499999998151,1.8490000000013114e-09,1
arith_easy_12,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,26,0.513972,328462,0,-0.26416721678399996,0.26416721678399996,0
arith_easy_13,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.999986,621,1,0.499999999804,1.9599999999883773e-10,1
arith_easy_14,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.999937,-530,1,0.499999996031,3.969000000004442e-09,1
arith_easy_15,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,8,0.844325,491400,1,-0.024234705625000002,0.024234705625000002,0
arith_easy_16,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.999972,1007,1,0.499999999216,7.840000000015681e-10,1
arith_easy_17,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.99994,-234,1,0.4999999964,3.599999999993878e-09,1
arith_easy_18,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,30,0.495035,179342,0,-0.245059651225,0.245059651225,0
arith_easy_19,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.999976,1738,1,0.499999999424,5.760000000011521e-10,1
arith_easy_20,arithmetic_easy,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.999977,-771,1,0.499999999471,5.289999999997813e-10,1
arith_hard_01,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,13,0.606106,-165,0,-0.367364483236,0.367364483236,0
arith_hard_02,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,7,0.904524,20625,0,-0.31816366657600004,0.818163666576,1
arith_hard_03,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.999312,33,1,0.499999526656,4.7334400000003016e-07,1
arith_hard_04,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.999987,184,1,0.499999999831,1.6900000000105968e-10,1
arith_hard_05,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,17,0.488139,-5434,0,-0.238279683321,0.238279683321,0
arith_hard_06,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,15,0.428269,57884,0,-0.18341433636100002,0.18341433636100002,0
arith_hard_07,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.999629,58,1,0.499999862359,1.3764100000000758e-07,1
arith_hard_08,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,18,0.610684,28549,0,-0.372934947856,0.372934947856,0
arith_hard_09,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.929136,20984,0,-0.3632937064959999,0.8632937064959999,1
arith_hard_10,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,0,0.976739,636,1,0.499458925879,0.0005410741209999989,1
arith_hard_11,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,11,0.467626,3964,0,-0.218674075876,0.218674075876,0
arith_hard_12,arithmetic_hard,32,0.5,1.0,0.5,0.9,123,oracle,argmax,32,32,1,0.876858,-67,1,-0.015163952163999994,0.015163952163999994,0
