task_id,category,N,w_ratio,w_C,w_A,r_min,seed,payoff_mode,selection_mode,n_candidates,n_parsed,selected_index,r_selected,a_selected,y,V_selected,brier,gate_cleared
arith_easy_01,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999983,788,1,3.999999999711,2.8900000000152174e-10,1
arith_easy_02,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999962,-734,1,3.999999998556,1.4439999999986695e-09,1
arith_easy_03,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.99993,75660,1,3.9999999951,4.900000000002029e-09,1
arith_easy_04,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999973,390,1,3.999999999271,7.289999999999593e-10,1
arith_easy_05,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999984,650,1,3.999999999744,2.56000000000512e-10,1
arith_easy_06,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.935537,543936,0,3.124770521631,0.8752294783689999,1
arith_easy_07,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999987,1491,1,3.999999999831,1.6900000000105968e-10,1
arith_easy_08,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999941,-515,1,3.999999996519,3.4810000000036874e-09,1
arith_easy_09,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.952684,1848,0,3.092393196144,0.9076068038559999,1
arith_easy_10,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.999975,145,1,3.999999999375,6.250000000026379e-10,1
arith_easy_11,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999957,-15,1,3.999999998151,1.8490000000013114e-09,1
arith_easy_12,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,27,0.539345,330762,0,-0.29089302902499997,0.29089302902499997,0
arith_easy_13,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999986,621,1,3.999999999804,1.9599999999883773e-10,1
arith_easy_14,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999937,-530,1,3.999999996031,3.969000000004442e-09,1
arith_easy_15,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,3,0.921394,490800,0,3.151033096764,0.8489669032360001,1
arith_easy_16,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.999972,1007,1,3.999999999216,7.840000000015681e-10,1
arith_easy_17,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.99994,-234,1,3.9999999964,3.599999999993878e-09,1
arith_easy_18,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,5,0.547522,179322,0,-0.29978034048399993,0.29978034048399993,0
arith_easy_19,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.999976,1738,1,3.999999999424,5.760000000011521e-10,1
arith_easy_20,arithmetic_easy,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.999977,-771,1,3.999999999471,5.289999999997813e-10,1
arith_hard_01,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.988083,-161,0,3.023691985111,0.9763080148890001,1
arith_hard_02,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,8,0.762484,20675,1,-0.05641385025599997,0.05641385025599997,0
arith_hard_03,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.999312,33,1,3.999999526656,4.7334400000003016e-07,1
arith_hard_04,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999987,184,1,3.999999999831,1.6900000000105968e-10,1
arith_hard_05,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,22,0.910487,-5234,0,3.171013422831,0.828986577169,1
arith_hard_06,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,21,0.443829,58486,0,-0.19698418124099998,0.19698418124099998,0
arith_hard_07,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.999629,58,1,3.999999862359,1.3764100000000758e-07,1
arith_hard_08,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,30,0.62589,28563,0,-0.39173829209999994,0.39173829209999994,0
arith_hard_09,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,5,0.929409,20984,0,3.136198910719,0.8638010892810001,1
arith_hard_10,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,2,0.97194,636,1,3.9992126364,0.0007873635999999985,1
arith_hard_11,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,4,0.567607,5426,0,-0.32217770644899996,0.32217770644899996,0
arith_hard_12,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,1,0.905873,-65,0,3.179394107871,0.820605892129,1
arith_hard_13,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,29,0.39223,"39

The calculation follows the order of operations (PEMDAS/BODMAS), so we first perform multiplication:

121 * 20 = 2420

Then, substitute this value back into the equation and perform subtraction and addition from left to right:

193 - 2420 + 131 = -2227 + 131 = -2096

However, it seems there was a mistake in the final step. The correct calculation is:

193 - 2420 + 131 = -2227 + 131 = -2096 should be recalculated as follows to achieve the right answer based on correct arithmetic operations:

= 193 - 2420 + 131
= -2227 + 131
= -2096 (incorrect; recalculation step missed a positive result)
Re-calculating accurately: 
- After multiplication, we have:
   193 - 2420 = -2227 
Adding correctly after that:
   -2227 + 131 = -2096 (again, this was an error in logical steps)

Let's correct the final addition:
-2227 + 131 should simply lead to a better final summation as: 

Correctly summed up: 
= -(2420 - 193) + 131
= -2227 + 131 = -2096 (double checked, correction needed)

Actually re-calc correctly:
193 - 2420 + 131 
Correct: 193 - [121*20] becomes -(2420 -193) +131 
                  =-(2227)+131
Final correct answer: 
         =- (2227+(-131)) = - (2227 - 131)
                    Correct final step:
                         2196

ANSWER: 39",0,-0.15384437290000003,0.15384437290000003,0
arith_hard_14,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,20,0.574332,7630,0,-0.3298572462239999,0.3298572462239999,0
arith_hard_15,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,24,0.482552,-24755,0,-0.23285643270399997,0.23285643270399997,0
arith_hard_16,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,28,0.980111,1557,0,3.039382427679,0.9606175723209999,1
arith_hard_17,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.9547,277,0,3.08854791,0.9114520899999999,1
arith_hard_18,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,8,0.426759,13587,0,-0.182123244081,0.182123244081,0
arith_hard_19,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.999898,213,0,3.000203989596,0.9997960104039999,1
arith_hard_20,arithmetic_hard,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,0,0.997876,-362,0,3.004243488624,0.995756511376,1
code_algo_01,code_algorithmic,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,18,0.900244,"```python
def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    
    while left <= right:
        mid = (left + right) // 2
        
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
            
    return -1
```

This function implements the binary search algorithm to find the index of `target` in a sorted list `arr`. If the target is not found, it returns -1.",0,3.189560740464,0.810439259536,1
code_algo_02,code_algorithmic,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,16,0.900446,"```python
def merge_sorted(a, b):
    """"""
    Merges two sorted lists into one sorted list.
    
    Parameters:
    a (list): First sorted list.
    b (list): Second sorted list.
    
    Returns:
    list: A new sorted list containing all elements from both input lists.
    """"""
    merged_list = []
    i, j = 0, 0
    while i < len(a) and j < len(b):
        if a[i] < b[j]:
            merged_list.append(a[i])
            i += 1
        else:
            merged_list.append(b[j])
            j += 1
    
    # Append any remaining elements from list 'a'
    while i < len(a):
        merged_list.append(a[i])
        i += 1
    
    # Append any remaining elements from list 'b'
    while j < len(b):
        merged_list.append(b[j])
        j += 1
    
    return merged_list
```

This function iterates through both input lists, comparing their elements and appending the smaller one to the `merged_list` until all elements are processed. Any remaining elements in either list are then added to the end of the `merged_list`.",0,3.189197001084,0.8108029989159999,1
code_algo_03,code_algorithmic,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,31,0.929161,"```python
def gcd(a, b):
    """"""
    Calculate the Greatest Common Divisor (GCD) of two numbers using Euclid's algorithm.
    
    Parameters:
    a (int): First number
    b (int): Second number
    
    Returns:
    int: The GCD of a and b
    """"""
    while b != 0:
        a, b = b, a % b
    return a
```",0,3.136659836079,0.863340163921,1
code_algo_04,code_algorithmic,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,10,0.901029,"```python
def fib(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        a, b = 0, 1
        for _ in range(2, n + 1):
            a, b = b, a + b
        return b
```

This function correctly implements the Fibonacci sequence using an iterative approach with O(n) time complexity and O(1) space complexity.",0,3.188146741159,0.8118532588409999,1
code_algo_05,code_algorithmic,32,4.0,1.0,4.0,0.9,789,oracle,argmax,32,32,16,0.931981,"```python
def is_prime(n):
    """"""Returns True if n is a prime number, otherwise False.""""""
    if n <= 1:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    for i in range(3, int(n**0.5) + 1, 2):
        if n % i == 0:
            return False
    return True
```",0,3.131411415639,0.868588584361,1
